,제목,가사,가수,발매일,좋아요수,장르
2871,저 강은 알고 있다,"비오는 낙동강에
저녁 노을 짙어지면
흘러 보낸 내 청춘이
눈물속에 떠오른다
한 많은 반 평생에
눈보라를 안고서
모질게 살아가는 이내 심정을
저 강은 알고 있다

밤 안개 깊어가고
인적 노을 사라지면
흘러가는 한세상이
꿈길처럼 애달프다
오늘도 달래 보는
상처뿐인 이 가슴
피맺힌 그 사연을 설움 사연을
저 강은 알고 있다",이미자,2009.08.03,195,성인가요/트로트
2872,그쟈,"봄날이 오며는 뭐하노 그쟈
우리는 너무 멀리 떨어져 있는데
꽃잎이 피면은 뭐하노 그쟈
우리는 너무 멀리 떨어져 있는데
그래도 우리 맘이 하나가 되어
암만 날이가도 변하지 않으면
조금은 외로워도 괜찮타 그쟈
우리는 너무너무 사랑하니까
그래도 우리 맘이 하나가 되어
암만 날이가도 변하지 않으면
조금은 외로워도 괜찮타 그쟈
우리는 너무너무 사랑하니까
우리는 너무너무 사랑하니까
우리는 너무너무 사랑하니까",최백호,2006.04.01,181,성인가요/트로트
2873,내장산,"동녘 바람 불어오면
곱게 물든 내 장산아
저녁 노을 붉게 타면 고운
애기 단풍은
어이해 떨어지나
망부석의 사연인가 서리서리
눈물인가
내장사 쇠북소리
밤새도 둥지를 찾아 날개를 접는다
가을빛 물들면 애기단풍 지면은
찾아 올까나 어느 고운님
나를 찾아 올까나 내장산으로
남녘 바람 깊어지면 내 마음도
깊어만 간다
법당 앞 댓돌 위에 새하얀 고무신
깊어가는 가을 달빛
망부석의 사연인가 서리서리
눈물인가
내장사 쇠북소리
밤새도 둥지를 찾아 날개를 접는다
가을빛 물들면 애기단풍 지면은
찾아 올까나 어느 고운님
나를 찾아 올까나 내장산으로",김용임,2013.06.25,781,성인가요/트로트
2874,님 (창살없는 감옥),"목숨보다 더 귀한 사랑이건만
창살 없는 감옥인가 만날 길 없네
왜이리 그리운지 보고 싶은지
못 맺을 운명 속에 몸부림치는
병들은 내 가슴에 비가 내리네
서로 만나 헤어진 이별이건만
맺지 못할 운명인가 어이 하려나
쓰라린 내 가슴은 눈물에 젖어
애달피 울어봐도 맺지 못할 것
차라리 잊어야지 잊어야 하나",박재란,2014.03.06,258,성인가요/트로트
2875,추억의 소야곡,"다시 한번 그 얼굴이 보고 싶어라
몸부림치며 울며 떠난 사람아
저 달이 밝혀주는 이 창가에서
이 밤도 너를 찾는 이 밤도
너를 찾는 노래 부른다
바람결에 너의 소식 전해 들으면
행복을 비는 마음 애달프구나
불러도 대답 없는 흘러간 사랑
차라리 잊으리라 차라리
잊으리라 맹세 슬프다",진해성,2014.12.16,490,성인가요/트로트
2876,세월강,"세상을 다 가져 갈 끼가
천만년을 살 끼가
그냥저냥 살다가 가면 되지
오라 하면 가면 되지
어차피 인생은 세월강에
흘러가는 꽃잎이 아니냐
한계절 자랑 하다가
때가 되면 지고 마는 꽃
징 징 울지말자 허허 웃어보자
사철 벗은 바람처럼 살자
준다고 다 가저 갈 끼가
천만년을 살 끼가
후회없이 살다가 가면되지
미련 없이 가면 되지
어차피 인생은 세월강에
흘러가는 꽃잎이 아니냐
한계절 자랑 하다가
때가 되면 지고 마는 꽃
징 징 울지말자 허허 웃어보자
사철 벗은 바람처럼 살자
사철 벗은 바람처럼 살자",더나은,2015.07.03,469,성인가요/트로트
2877,물레방아도는데,"돌담길 돌아서며 또 한번 보고
징검다리 건너갈 때 뒤돌아 보며
서울로 떠나간 사람
천리타향 멀리 가더니
새 봄이 오기 전에 잊어버렸나
고향의 물레방아
오늘도 돌아가는데
두 손을 마주 잡고 아쉬워 하며
골목길을 돌아설때 손 흔들며
서울로 떠나간 사람
천리 타향 멀리 가더니
가을이 다 가도록 소식도 없네
고향의 물레방아
오늘도 돌아가는데",나훈아,2018.04.12,221,성인가요/트로트
2878,나를 살게하는 사랑 (Trot Ver.),"나를 살게하는 사랑
아무 이유없는 사랑
거기에 있어요 멀어지지마요
내가 아파 할게요
바라보는것도 사랑
기다리는것도 사랑
그리움에 가슴이 저린것도
내겐 사랑입니다
나를 살게하는 사랑
아무 이유없는 사랑
거기에 있어요 멀어지지마요
내가 아파할게요
계절이 오듯이 그래
매일 숨쉬듯이 그래
이유없이 시작한 이마음은
그래 사랑입니다
나를 살게하는 사랑
아무 이유없는 사랑
거기에 있어요 멀어지지마요
내가 아파할게요
그댈 사랑합니다",금잔디,2018.12.20,614,성인가요/트로트
2879,쉬운여자 아니랍니다 (Prod.권노해만),"어머 쉬운 여자 아니랍니다
쉬운 여자 아니랍니다
내 맘에 쏙 들면 또 몰라도
그냥 한번 하는 맘으로
내 마음 떠보지는 마세요
쉬운 여자 아니랍니다
첫 눈에 반하면 또 몰라도
진실하지 못한 맘으로
사랑을 고백하진 마세요
눈웃음이 헤퍼 보여도
똑 부러지는 데가 있어요
내가 원래 매력은 좀 있지만
어머 어머 어머 어머
쉬운 여자 아니랍니다
울고 갈 진심이면 몰라도
오다가다 아는 여자로
내 번호 저장하지 마세요
쉬운 여자 아니랍니다
내 맘에 쏙 들면 또 몰라도
그냥 한번 하는 맘으로
내 마음 떠보지는 마세요
쉬운 여자 아니랍니다
첫 눈에 반하면 또 몰라도
진실하지 못한 맘으로
사랑을 고백하진 마세요
눈웃음이 헤퍼 보여도
똑 부러지는 데가 있어요
내가 원래 매력은 좀 있지만
어머 어머 어머 어머
쉬운 여자 아니랍니다
울고 갈 진심이면 몰라도
오다가다 아는 여자로
내 번호 저장하지 마세요
쉬운 여자 아니랍니다
울고 갈 진심이면 몰라도
안주거리 삼을 맘으로
추억을 만들자 곤 마세요
사랑을 만들자 곤 마세요",별윤하 (Byeol Youn Ha),2019.09.25,31,성인가요/트로트
2880,환희 + 아모르 파티 + 강원도 아리랑,"이제 그대 기쁨을 말해주오
이제 그대 슬픔을 말해주오
우리 서로 아픔을 같이할 때
행복 할 수 있어요
그대손을 잡고
걸어가고 있는 이 순간
세상 모든 것이 아름답게 보여요
이젠 나의 기쁨이 되어주오
이젠 나의 슬픔이 되어주오
우리 서로 아픔을 같이 하면
다시 태어날 수 있는걸
이제 그대 기쁨을 말해주오
이제 그대 슬픔을 말해주오
우리 서로 아픔을 같이할 때
행복 할 수 있어요
아모르 파티
연애는 필수 결혼은 선택
가슴이 뛰는대로 하면 돼
눈물은 이별의 거품일 뿐이야
다가올 사랑은 두렵지 않아
아모르 파티
아모르 파티
아리아리 쓰리쓰리 아라리요
아리아리 고개로 넘어간다
아주까리 정자는 구경자리
살구나무 정자로 만나보세
아리아리 쓰리쓰리 아라리요
아리아리 고개로 넘어간다
아리아리 쓰리쓰리 아라리요
아리아리 고개로 넘어간다
아리아리 쓰리쓰리 아라리요
아리아리 고개로 넘어간다
아리아리 고개로 넘어간다",송가인,2019.10.08,"6,030",성인가요/트로트
2881,빈자리,"사랑이 머물다간 그 자리
바람만 휑하니 불고
구멍 난 이 내 아픈 가슴엔
상처만 남아 있네요
서러움이 밀려와
울고 싶어
나의 착한 사랑도 부족했나요
하지만 난 오늘도
당신을 기다리다가
그리움만 깊어가네
사랑이 머물다간 그 자리
쓸쓸한 낙엽만 지고
구멍 난 이 내 아픈 가슴엔
바람만 불어오네요
사랑이 머물다간 그 자리
바람만 휑하니 불고
구멍 난 이 내 아픈 가슴엔
상처만 남아 있네요
서러움이 밀려와
울고 싶어
나의 착한 사랑도 부족했나요
하지만 난 오늘도
당신을 기다리다가
그리움만 깊어가네
사랑이 머물다간 그 자리
쓸쓸한 낙엽만 지고
구멍 난 이 내 아픈 가슴엔
바람만 불어오네요
바람만 불어오네요",진해성,2019.10.16,454,성인가요/트로트
2882,오라버니,"날 사랑하신다 하니
정말 그러시다니
구름타고 빛나는 하늘
훨훨 날아갑니다
날 사랑하신다 하니
정말 행복하여서
설레이다 떠는 가슴은
아픈 줄도 모른답니다
오라버니 어깨에 기대어 볼래요
커다란 가슴에 얼굴을 묻고
지금 이대로 죽어도 여한 없어요
나는 정말 여자라서 행복해요
오라버니
사랑한다 말해주세요
말해줘요
정신을 못 차릴거야
오라버니 목소리에 울고 웃어요
내겐 영원한 오라버니

오라버니 어깨에 기대어 볼래요
커다란 가슴에 얼굴을 묻고
지금 이대로 죽어도 여한 없어요
오라버니
나는 정말 여자라서 행복해요
말해주세요
사랑한다 말해주세요
말해줘요
정신을 못 차릴거야
오라버니 목소리에 울고 웃어요
내겐 영원한 오라버니
내겐 영원한 오라버니
나의 오라버니",하유비,2019.10.24,471,성인가요/트로트
2883,J에게,"J 스치는 바람에
J 그대모습 보이면
난 오늘도 조용히 그댈 그리워하네
J 지난밤 꿈속에 J 만났던 모습을
내 가슴속 깊이 여울져 남아있네
J 아름다운 여름날이 멀리
사라졌다해도
J 나의 사랑은 아직도 변함없는데
J 난 너를 못잊어 J 난 너를 사랑해
J 우리가 걸었던 J 추억의 그길을
난 이 밤도 쓸쓸히 쓸쓸히 걷고 있네
J 아름다운 여름날이 멀리
사라졌다해도
J 나의 사랑은 아직도 변함없는데
J 난 너를 못잊어 J 난 너를 사랑해
J 우리가 걸었던 J 추억의 그길을
난 이 밤도 쓸쓸히 쓸쓸히 걷고 있네
쓸쓸히 걷고있네",김희재,2020.05.01,"4,266",성인가요/트로트
2884,자기야,"자기야 사랑인걸 정말 몰랐니
자기야 행복인걸 이젠 알겠니
자기를 만나서 사랑을 알았고
사랑을 하면서 철이 들었죠
나만의 사랑을 나만의 행복을
말로는 설명 할 수가 없잖아요
어쩜 좋아 어쩜 좋아 자기가 좋아
멋진 그대 멋진 그대 자기가 좋아
자기야 사랑인걸 정말 몰랐니
자기야 행복인걸 이젠 알겠니
자기야 사랑인걸 정말 몰랐니
자기야 행복인걸 이젠 알겠니
자기를 만나서 사랑을 알았고
사랑을 하면서 철이 들었죠
나만의 사랑을 나만의 행복을
말로는 설명 할 수가 없잖아요
어쩜 좋아 어쩜 좋아 자기가 좋아
멋진 그대 멋진 그대 자기가 좋아
자기야 사랑인걸 정말 몰랐니
자기야 행복인걸 이젠 알겠니
자기야 사랑인걸 정말 몰랐니
자기야 행복인걸 이젠 알겠니",영탁,2020.05.08,"6,928",성인가요/트로트
2885,전화통신,"여보세요 미쓰 김 안녕하세요
여기는 청파동 청년 박이오
지나간 일요일은 약속한대로
하루종일 극장 앞에 비를 맞으며
기다리게 하였으니 고맙습니다
여보세요 박 선생 오해마세요
남의 속 모르는 무정한 말씀
지나간 일요일은 감기 몸살에
하루종일 빈방에서 쓸쓸히 홀로
여자 마음 몰라주니 야속합니다
여보세요 미쓰 김 정말 미안해
아니요 박 선생 천만의 말씀
닥쳐 올 일요일은 단둘이 만나
아베크는 대천 바다 인천 월미도
젊은 날의 전화통신 즐겁습니다",주현미,2020.06.10,"4,318",성인가요/트로트
2886,지나야,"한때는 사랑했던 사람
한때는 죽고 못 살던 사람
지금은 남이 되어 곁에 없지만
그래도 나는 아직도 나는 사랑은
나를 두고 멀리 떠났지만
사랑을 남기고 간 것들은
수많은 별이 되어 밤을 설치네
그저께 밤도 어저께 밤도
어디서 무얼 하고 있을까
나를 아주 잊었을까
어쩌다가 우연이라도 좋아
다시 한 번 만나고 싶어
지나야 지나야 지나야
내가 더 널 사랑했나 봐
한때는 사랑했던 사람
한때는 죽고 못 살던 사람
지금은 남이 되어 곁에 없지만
그래도 나는 아직도 나는 사랑은
나를 두고 멀리 떠났지만
사랑을 남기고 간 것들은
수많은 별이 되어 밤을 설치네
그저께 밤도 어저께 밤도
어디서 무얼 하고 있을까
나를 아주 잊었을까
어쩌다가 우연이라도 좋아
다시 한 번 만나고 싶어
지나야 지나야 지나야
내가 더 널 사랑했나 봐",진성,2020.06.25,99,성인가요/트로트
2887,남은 것은 당신뿐,"나에겐 당신이라는 의미를 깨닫기까지
수많은 계절이 꿈처럼 지나갔다오
사는 게 너무 힘들어 떠나려 했던 날에도
못난 내가 눈에 밟혀 돌아온 거 기억하오
세월의 끝자락에
우리 함께 할 수 있어서
작아진 몸이라도
서로 의지 할 수 있어서 음
우리 지난날 돌아보니
남은 것은 당신뿐이오
사는 게 너무 힘들어 떠나려 했던 날에도
못난 내가 눈에 밟혀 돌아온 거 기억하오
세월의 끝자락에
우리 함께 할 수 있어서
작아진 몸이라도
서로 의지 할 수 있어서 음
여보 아이들도 떠나니
남은 것은 당신뿐이오
남은 것은 당신뿐이오",김호중,2020.09.26,"14,226",성인가요/트로트
2888,고래사냥,"술 마시고 노래하고 춤을 춰봐도
가슴에는 하나 가득 슬픔뿐이네
무엇을 할 것인가 둘러 보아도
보이는 건 모두가 돌아 앉았네
자 떠나자 동해 바다로
삼등삼등 완행열차 기차를 타고 허
간밤에 꾸었던 꿈의 세계는
아침에 일어나면 잊혀 지지만
그래도 생각나는 내 꿈 하나는
조그만 예쁜 고래 한 마리
자 떠나자 동해 바다로
신화처럼 숨을 쉬는 고래 잡으러
우리의 사랑이 깨진다 해도
모든 것을 한꺼번에 잃는다 해도
우리들 가슴속에 뚜렷이 있다
한 마리 예쁜 고래 하나가
자 떠나자 동해 바다로
신화처럼 숨을 쉬는 고래 잡으러
자 떠나자 동해 바다로
신화처럼 숨을 쉬는 고래 잡으러",영탁,2020.10.06,"5,424",성인가요/트로트
2889,비련,"기도하는 사랑의 손길로
떨리는 그대를 안고
포옹하는 가슴과 가슴이
전하는 사랑의 손길
돌고 도는 계절의 바람 속에서
이별하는 시련의 돌을 던지네
아 눈물은 두 뺨에 흐르고
그대의 입술을 깨무네
용서하오 밀리는 파도를
물새에게 물어보리라
물어보리라
몰아치는 비바람을
철새에게 물어보리라
기도하는 사랑의 손길로
떨리는 그대를 안고
포옹하는 가슴과 가슴이
전하는 사랑의 손길
한 많은 이 세상 야속한 님아
정을 두고 몸만 가니 눈물이 나네
돌고 도는 계절의 바람 속에서
이별하는 시련의 돌을 던지네
아 눈물은 두 뺨에 흐르고
그대의 입술을 깨무네
용서하오 밀리는 파도를
물새에게 물어보리라
물어보리라 물어보리라 물어보리라
철새에게 물어 보리라",신승태,2021.01.10,245,성인가요/트로트
2890,아담과 이브처럼,"난 그냥 네가 왠지 좋아
이유도 없이 그냥 좋아
난 너를 사랑하고 싶어
사랑에 빠지고 싶어
사랑은 이런 건 가봐
가슴이 저려오네요
그리움이 이런 건 가봐
자꾸만 눈물이 나요
오렌지빛 노을 창가에
와인 잔에 입맞춤으로
사랑을 마시고 싶어
사랑을 꿈꾸고 싶어
난 그냥 네가 정말 좋아
이유도 없이 그냥 좋아
난 너를 모두 알고 싶어
벗어버린 아담과 이브처럼
Hold me close don't let me go
Take my hand and keep me close
Please say you'll love me forever
I never want to say goodbye
오렌지빛 노을 창가에
와인 잔에 입맞춤으로
사랑을 마시고 싶어
사랑을 꿈꾸고 싶어
난 그냥 네가 정말 좋아
이유도 없이 그냥 좋아
난 너를 모두 알고 싶어
벗어버린 아담과 이브처럼
Hold me close don't let me go
Take my hand and keep me close
Please say you'll love me forever
I never want to say goodbye",한강,2021.01.10,185,성인가요/트로트
2891,보약 같은 친구,"아침에 눈을 뜨면
제일 먼저 생각나는
자네는 좋은 친구야
보약 같은 친구
피 한 방울 섞이지 않은
우리 두 사람
전생에 인연일거야
자식보다 자네가 좋고
돈보다 자네가 좋아
자네와 난
보약 같은 친구야
아아아 사는 날까지
같이 가세
보약 같은 친구야
같이 가세 보약 같은 친구야
자식보다 자네가 좋고
돈보다 자네가 좋아
자네와 난 보약 같은 친구야
아아아 사는 날까지
같이 가세 보약 같은 친구야
같이 가세 보약 같은 친구야
같이 가세 같이 가세 보약 같은 친구
친구",영탁,2021.02.16,"7,432",성인가요/트로트
2892,사랑은 아무나 하나,"사랑은 아무나 하나
사랑은 아무나 하나
사랑은 아무나 하나
눈이라도 마주쳐야지
만남의 기쁨도 이별의 아픔도
두 사람이 만드는 걸
어느 세월에 너와 내가 만나
점 하나를 찍을까
사랑은 아무나 하나
어느 누가 쉽다고 했나
사랑은 아무나 하나
사랑은 아무나 하나
사랑은 아무나 하나
흔히 하는 얘기가 아니지
만나고 만나도 느끼지 못하면
외로운건 마찬가지야
어느 세월에 너와 내가 만나
점 하나를 찍을까
사랑은 아무나 하나
어느 누가 쉽다고 했나
어느 세월에 너와 내가 만나
점 하나를 찍을까
사랑은 아무나 하나
어느 누가 쉽다고 했나
어느 누가 쉽다고 했나",류원정,2021.02.19,166,성인가요/트로트
2893,동전인생,"바람 바람 끝자락 매달려
흘러간 청춘
돈이건만 값어치 약한 동전 같았던
내 과거 그 누가 알까
자존심을 내 목숨보다 더 사랑한
지난날 아픔 속에는
눈물 방울 삼키며 오늘을 위하여
추억 밟고 나 여기 왔다
다시는 울지 않으리
바람 바람 끝자락 매달려
흘러간 청춘
돈이건만 값어치 약한 동전 같았던
내 과거 그 누가 알까
자존심을 내 목숨보다 더 사랑한
지난 날 아픔 속에는
눈물 방울 삼키며 오늘을 위하여
추억 밟고 나 여기 왔다
다시는 울지 않으리
눈물방울 삼키며 오늘을 위하여
모진 세월 나 여기 왔다
인생은 지금부터야",영탁,2021.03.09,"4,818",성인가요/트로트
2894,배 띄워라,"출렁이는 물결 위에
두리둥실 배를 띄워라
오늘 같이 좋은 날엔
님 계신 그곳까지
별빛을 담아 달빛을 담아
꽃바람에 두리 두둥실
배 띄워라 노를 저어라
어여라여차 배를 띄워라
님 찾아 사랑을 찾아
배를 띄워라
견우직녀 만나듯이
오작교를 건너가자
오늘 같이 좋은 날엔
님 계신 그곳까지
별빛을 담아 달빛을 담아
꽃바람에 두리 두둥실
배 띄워라 노를 저어라
어여라여차 배를 띄워라
꿈 찾아 행복을 찾아 배를 띄워라
배를 띄워라",배아현,2021.09.15,102,성인가요/트로트
2895,미운사랑,"남몰래 기다리다가
가슴만 태우는사랑
어제는 기다림에
오늘은 외로움에
그리움에 적셔진 긴 세월
이렇게 살라고 인연을 맺었나
차라리 저 멀리 둘 걸
미워졌다고 갈수 있나요
행여나 찾아올까봐
가슴이 사랑을 잊지 못해
이별로 끝난다 해도
그 끈을 놓을수 없어
너와 난 운명인거야
이렇게 살라고 인연을 맺었나
차라리 저 멀리 둘 걸
미워졌다고 갈수 있나요
행여나 찾아 올까봐
가슴이 사랑을 잊지 못해
이별로 끝난다 해도
그 끈을 놓을수 없어
너와 난 운명인거야
그 끈을 놓을수 없어
너와 난 운명인거야",오승근,2014.05.23,418,성인가요/트로트
2896,희망가,"이 풍진 세상을 만났으니
너의 희망이 무엇이냐
부귀와 영화를 누렸으면
희망이 족할까
푸른 하늘에 밝은 달 아래
곰곰히 생각하니
세상 만사가 춘몽중에
또 다시 꿈 같도다
이 풍진 세상을 만났으니
너의 희망이 무엇이냐
부귀와 영화를 누렸으면
희망이 족할까
담소화락에 엄벙덤벙
주색잡기에 침몰하랴
세상만사를 잊었으면
희망이 족하다
세상만사를 잊었으면
희망이 족하다",나훈아,2018.02.05,197,성인가요/트로트
2897,미스터 유,"이봐요 미스터 유
얼굴은 왜 돌려
사랑하다 싫어지면
그만이지
얼굴은 왜 돌려
내 곁에서 맴돌다가
스쳐간 바람 같은 사나이
미련없이 돌아서야지
가슴 속에 아쉬움은
조금씩 있겠지만
그까짓 것 바람의 사나이
잊을 거야 미스터 유
이봐요 미스터 유
얼굴은 왜 돌려
사랑하다 싫어지면
그만이지
얼굴은 왜 돌려
내 곁에서 맴돌다가 스쳐간
바람 같은 사나이
미련없이 돌아서야지
가슴 속에 아쉬움은
조금씩 있겠지만
그까짓 것 바람의 사나이
잊을 거야 미스터 유",방수정,2021.01.22,218,성인가요/트로트
2898,그냥웃자 (remake),"사는 게 뭐냐고 묻지를 마라
대답마저 기대를 마라
어찌 세상이 호락호락하더냐
허허 허허 그냥 웃자
힘들게 산다고 아프게 산다고
외롭게 산다고 억울하게 산다고
그 어디에 내편하나 있더냐.
넓은 바다 위 난파선처럼
헤쳐 가는 게 인생이더라.
그 누구에게 기대지 마라
허허 허허 그냥 웃자.
사는 게 뭐냐고 묻지를 마라
대답마저 기대를 마라
어찌 세상이 호락호락하더냐
허허 허허 그냥 웃자
힘들게 산다고 아프게 산다고
외롭게 산다고 억울하게 산다고
그 어디에 내편하나 있더냐.
넓은 바다 위 난파선처럼
헤쳐 가는 게 인생이더라.
그 누구에게 기대지 마라
허허 허허 그냥 웃자.
그 누구에게 기대지 마라
허허 허허 그냥 웃자.
허허 허허 그냥 웃자.",김다현,2023.02.02,139,성인가요/트로트
2899,59년 왕십리,"왕십리 밤 거리에 구슬프게 비가 내리면
눈물을 삼키려 술을 마신다
옛사랑을~ 마신다
정주던 사람은 모두 떠나고
서울 하늘아래 나홀로
아~ 깊어가는 가을 밤만이
왕십리를 달래주네

왕십리 밤 거리에
구슬프게 비가 내리면
눈물을 삼키려 술을 마신다
옛 사랑을~ 마신다
정주던 사람은 모두 떠나고
서울 하늘아래 나홀로
아~ 깊어가는 가을 밤 만이
왕십리를 달래주네 아~ 깊어가는
가을 밤만이 왕십리를 달래주네",김흥국,1999,245,성인가요/트로트
2900,공주는 외로워,"거울속에 보이는 아름다운 내 모습
나조차 눈을 뗄수 없어
세상 어떤 예쁜 꽃들이 나보다 더 고울까
난 정말 완벽한 여자예요
때로는 날보는 여자들의
질투어린 시선이~
여리고 순수한 내마음을
아프게도 하지만
누가 누가 알아줄까
아~ 혼자라는 외로움을
예쁜 나는 공주라 외로워

때로는 날보는 여자들의
질투 어린 시선이~
여리고 순수한 내마음을
아프게도 하지만
누가 누가 알아줄까
오~ 혼자라는 외로움을
예쁜 나는 공주라 외로워
누가 누가 알아줄까
오~ 혼자라는 외로움을
예쁜 나는 공주라 외로워",김자옥,1996.11,753,성인가요/트로트
2901,가을비 우산속,"그리움이 눈처럼
쌓인 거리를
나혼자서 걸었네
미련때문에
흐르는 세월따라
잊혀진 그 얼굴이
왜 이다지 속눈썹에
또다시 떠오르나
정다웠던 그 눈길
목소리 어딜갔나
아픈 가슴 달래며
찾아 헤매이는
가을비 우산속에
이슬 맺힌다

잊어야지 언젠가는
세월 흐름 속에
나혼자서 잊어야지
잊어봐야지
슬픔도 그리움도
나혼자서 잊어야지
그러다가 언젠가는
잊어지겠지
정다웠던 그 눈길
목소리 어딜갔나
아픈 가슴 달래며
찾아 헤매이는
가을비 우산속에
이슬 맺힌다",최헌,1978.12.20,191,성인가요/트로트
2902,못잊을건 정,"당신을 보내 놓고
무거운 발길은
돌아갈 길을 잃어 버렸나
안개 속을 걷는다
마음이 아파와도
잊어야 할까요
돌아올 수 없을까
돌아올 수 없을까
못잊을 것은 정

당신을 보내 놓고
무거운 발길은
돌아갈 길을 잃어 버렸나
안개 속을 걷는다
그 모습 그리워도
지워야 할까요
돌아올 수 없을까
돌아올 수 없을까
못잊을 것은 정",정의송,1996.01.01,88,성인가요/트로트
2903,샤방샤방,"아주그냥 죽여줘요
누구나 사랑하는 매력적인 내가
한여자를 찍었지
아름다운 그녀 모습
너무나 섹시해
얼굴도 샤방샤방
몸매도 샤방샤방
모든것이 샤방샤방
얼굴은 브이라인
몸매는 에스라인
아주그냥 죽여줘요
아주그냥 죽여줘요
모든게 준비가 된 잘나가는 내가
한여자를 찍었지
눈이부신 그녀 모습
너무나 섹시해
얼굴도 샤방샤방
몸매도 샤방샤방
모든것이 샤방샤방
얼굴은 브이라인
몸매는 에스라인
아주그냥 죽여줘요
얼굴도 샤방샤방
몸매도 샤방샤방
모든것이 샤방샤방
얼굴은 브이라인
몸매는 에스라인
아주그냥 죽여줘요
아주그냥 죽여줘요",박현빈,2011.11.23,385,성인가요/트로트
2904,충청도 아줌마,"와도 그만 가도 그만
방랑의 길은 먼데
충청도 아줌마가
한사코 길을 막네
주안상 하나놓고
마주앉은 사람아
술이나 따르면서 따르면서
내 설움 너의 설움을
엮어나 보자
서울이고 부산이고
갈 곳은 있지만은
구수한 사투리가
너무도 정답구나
눈물을 흘리면서
밤을 새운 사람아
과거를 털어놓고 털어놓고
새로운 새 희망에
살아가보자",오기택,1983.09.01,152,성인가요/트로트
2905,사랑을 한번 해보고 싶어요,"사랑에 한번 빠지고 싶어요
아주 멋진 여자를 만나
바다가 있는 아름다운 해변을
둘이서 걷고 싶어요
가슴이 불타 올라요
눈물마저 핑 도네요
지금까지 살아오면서
나를 위해 무엇을 했나
세월이 다 가기 전에
내 모습 변하기 전에
그대와 둘이 밤을 지새며
지난 날을 잊고 싶어요
사랑을 한번 해보고 싶어요
매력 있는 여자를 만나
아무도 없는 무인도에서
그녀와 함께 있고 싶어요
가슴이 벅차 올라요
눈물마저 핑 도네요
지금까지 살아오면서
나를 위해 무엇을 했나
세월이 다 가기 전에
내 모습 변하기 전에
사랑하는 그대 그대와 둘이
지난날을 잊고 싶어요
지난날을 잊고 싶어요",하동진,2015.08.03,136,성인가요/트로트
2906,시계바늘,"사는게 뭐 별거 있더냐
욕 안먹고 살면 되는 거지
술한잔에 시름을 털고
너털웃음 한번
웃어보자 세상아
시계바늘처럼 돌고 돌다가
가는길을 잃은 사람아
미련 따위 없는거야
후회도 없는거야
아 아 세상살이 뭐
다 그런거지 뭐
돈이 좋아 여자가 좋아
술이 좋아 친구가 좋아
싫다하는 사람은 없어
너도 한번 해보고
나도 한번 해본다
시계바늘처럼 돌고 돌다가
가는 길을 잃은 사람아
미련 따위 없는거야
후회도 없는거야
아 아 세상살이 뭐
다 그런거지 뭐
세상살이 뭐
다 그런거지 뭐",신유,2016.12.13,307,성인가요/트로트
2907,세월베고 길게누운 구름한조각,"늙은 산 노을 업고 힘들어 하네
벌겋게 힘들어 하네
세월 베고 길게 누운 구름 한 조각
하얀 구름 한 조각
여보게 우리 쉬었다 가세
남은 잔은 비우고 가세
가면 어때 저 세월 가면 어때 이 청춘
저녁 깔린 뒷마당에 쉬었다 가세
여보게 쉬었다 가세
늙은 소 긴 하루를 힘들어하네
음메 하며 힘들어 하네
삐딱하게 날아가는 저 산 비둘기
가지 끝에 하루를 접네
여보게 우리 쉬었다 가세
남은 얘기 다 하고 가세
가면 어때 저 세월 가면 어때 이 청춘
저녁 깔린 뒷마당에 쉬었다 가세
여보게 쉬었다 가세
가면 어때 저 세월 가면 어때 이 청춘
저녁 깔린 뒷마당에 쉬었다 가세
여보게 쉬었다 가세
여보게 쉬었다 가세
여보게 쉬었다 가세",나진아,2017.05.08,266,성인가요/트로트
2908,산다는 건,"산다는 건 다 그런 거래요
힘들고 아픈 날도 많지만
산다는 건 참 좋은 거래요
오늘도 수고 많으셨어요
어떻게 지내셨나요
오늘도 한잔 걸치셨네요
뜻대로 되는 일 없어
한숨이 나도 슬퍼 마세요
어느 구름 속에 비가
들었는지 누가 알아
살다 보면 나에게도
좋은 날이 온답니다
산다는 건 다 그런 거래요
힘들고 아픈 날도 많지만
산다는 건 참 좋은 거래요
오늘도 수고 많으셨어요
라라라 라라라
라라라 라
라 라라
옆집이 부러운가요
친구가 요즘 잘나가나요
남들은 다 좋아 보여
속상해져도 슬퍼 마세요
사람마다 알고 보면
말 못할 사연도 많아
인생이 별거 있나요
거기서 거기인 거지 워
산다는 건 다 그런 거래요
힘들고 아픈 날도 많지만
산다는 건 참 좋은 거래요
오늘도 수고 많으셨어요
산다는 건 다 그런 거래요
세상일이란 알 수 없지만
산다는 건 참 멋진 거래요
모두가 내일도 힘내세요
산다는 건 다 그런 거래요
힘들고 아픈 날도 많지만
산다는 건 참 좋은 거래요
오늘도 수고 많으셨어요
산다는 건 다 그런 거래요
세상일이란 알 수 없지만
산다는 건 참 멋진 거래요
모두가 내일도 힘내세요
오늘도 내일도 힘내세요
라라라 라라라 라라라라
라라라",홍진영,2017.07.02,"1,532",성인가요/트로트
